"nazwa","wojewodztwo","jednostka","wskaznik"
"Wodzisław Śląski","śląskie","miasto_powiatowe",-9.98
"Kętrzyn","warmińsko-mazurskie","miasto_powiatowe",-10.11
"Myślibórz","zachodniopomorskie","miasto_powiatowe",-10.19
"Tomaszów Mazowiecki","łódzkie","miasto_powiatowe",-10.26
"Oleśnica","dolnośląskie","miasto_powiatowe",-10.4
"Bochnia","małopolskie","miasto_powiatowe",-10.47
"Bełchatów","łódzkie","miasto_powiatowe",-10.49
"Aleksandrów Kujawski","kujawsko-pomorskie","miasto_powiatowe",-10.5
"Prudnik","opolskie","miasto_powiatowe",-10.75
"Rawicz","wielkopolskie","miasto_powiatowe",-10.85
"Kamienna Góra","dolnośląskie","miasto_powiatowe",-10.87
"Grajewo","podlaskie","miasto_powiatowe",-10.92
"Wieruszów","łódzkie","miasto_powiatowe",-11.06
"Malbork","pomorskie","miasto_powiatowe",-11.08
"Staszów","świętokrzyskie","miasto_powiatowe",-11.1
"Zgierz","łódzkie","miasto_powiatowe",-11.14
"Wieliczka","małopolskie","miasto_powiatowe",-11.16
"Drawsko Pomorskie","zachodniopomorskie","miasto_powiatowe",-11.17
"Lipno","kujawsko-pomorskie","miasto_powiatowe",-11.19
"Grodzisk Mazowiecki","mazowieckie","miasto_powiatowe",-11.22
"Kraśnik","lubelskie","miasto_powiatowe",-11.27
"Pińczów","świętokrzyskie","miasto_powiatowe",-11.34
"Mikołów","śląskie","miasto_powiatowe",-11.35
"Oborniki","wielkopolskie","miasto_powiatowe",-11.46
"Końskie","świętokrzyskie","miasto_powiatowe",-11.5
"Brzeg","opolskie","miasto_powiatowe",-11.65
"Chodzież","wielkopolskie","miasto_powiatowe",-11.65
"Janów Lubelski","lubelskie","miasto_powiatowe",-11.73
"Miechów","małopolskie","miasto_powiatowe",-11.77
"Śrem","wielkopolskie","miasto_powiatowe",-11.77
"Brzozów","podkarpackie","miasto_powiatowe",-11.81
"Sochaczew","mazowieckie","miasto_powiatowe",-11.87
"Trzebnica","dolnośląskie","miasto_powiatowe",-11.91
"Łęczyca","łódzkie","miasto_powiatowe",-12.02
"Bartoszyce","warmińsko-mazurskie","miasto_powiatowe",-12.09
"Przeworsk","podkarpackie","miasto_powiatowe",-12.18
"Brzeziny","łódzkie","miasto_powiatowe",-12.24
"Puławy","lubelskie","miasto_powiatowe",-12.26
"Ząbkowice Śląskie","dolnośląskie","miasto_powiatowe",-12.28
"Pyrzyce","zachodniopomorskie","miasto_powiatowe",-12.37
"Przasnysz","mazowieckie","miasto_powiatowe",-12.44
"Włoszczowa","świętokrzyskie","miasto_powiatowe",-12.48
"Cieszyn","śląskie","miasto_powiatowe",-12.49
"Stargard Szczeciński","zachodniopomorskie","miasto_powiatowe",-12.52
"Piaseczno","mazowieckie","miasto_powiatowe",-12.59
"Rawa Mazowiecka","łódzkie","miasto_powiatowe",-12.65
"Tczew","pomorskie","miasto_powiatowe",-12.68
"Krosno Odrzańskie","lubuskie","miasto_powiatowe",-12.9
"Koło","wielkopolskie","miasto_powiatowe",-12.9
"Brzesko","małopolskie","miasto_powiatowe",-12.95
"Police","zachodniopomorskie","miasto_powiatowe",-13.03
"Strzelin","dolnośląskie","miasto_powiatowe",-13.2
"Ełk","warmińsko-mazurskie","miasto_powiatowe",-13.21
"Przysucha","mazowieckie","miasto_powiatowe",-13.64
"Złotoryja","dolnośląskie","miasto_powiatowe",-13.67
"Strzyżów","podkarpackie","miasto_powiatowe",-13.7
"Maków Mazowiecki","mazowieckie","miasto_powiatowe",-13.84
"Człuchów","pomorskie","miasto_powiatowe",-13.88
"Mrągowo","warmińsko-mazurskie","miasto_powiatowe",-13.91
"Gostyń","wielkopolskie","miasto_powiatowe",-13.94
"Radzyń Podlaski","lubelskie","miasto_powiatowe",-13.95
"Słupca","wielkopolskie","miasto_powiatowe",-14.02
"Tomaszów Lubelski","lubelskie","miasto_powiatowe",-14.19
"Giżycko","warmińsko-mazurskie","miasto_powiatowe",-14.22
"Gołdap","warmińsko-mazurskie","miasto_powiatowe",-14.29
"Tuchola","kujawsko-pomorskie","miasto_powiatowe",-14.54
"Łask","łódzkie","miasto_powiatowe",-14.55
"Milicz","dolnośląskie","miasto_powiatowe",-14.77
"Olkusz","małopolskie","miasto_powiatowe",-14.78
"Mońki","podlaskie","miasto_powiatowe",-14.83
"Bytów","pomorskie","miasto_powiatowe",-15.17
"Starogard Gdański","pomorskie","miasto_powiatowe",-15.18
"Kolbuszowa","podkarpackie","miasto_powiatowe",-15.39
"Lwówek Śląski","dolnośląskie","miasto_powiatowe",-15.42
"Szczecinek","zachodniopomorskie","miasto_powiatowe",-15.59
"Olecko","warmińsko-mazurskie","miasto_powiatowe",-15.71
"Nowy Tomyśl","wielkopolskie","miasto_powiatowe",-15.71
"Bielsk Podlaski","podlaskie","miasto_powiatowe",-15.78
"Będzin","śląskie","miasto_powiatowe",-15.84
"Kołobrzeg","zachodniopomorskie","miasto_powiatowe",-15.86
"Grójec","mazowieckie","miasto_powiatowe",-15.88
"Mława","mazowieckie","miasto_powiatowe",-16
"Łuków","lubelskie","miasto_powiatowe",-16.29
"Ostrzeszów","wielkopolskie","miasto_powiatowe",-16.48
"Poddębice","łódzkie","miasto_powiatowe",-16.71
"Wągrowiec","wielkopolskie","miasto_powiatowe",-16.73
"Ostrowiec Świętokrzyski","świętokrzyskie","miasto_powiatowe",-16.76
"Turek","wielkopolskie","miasto_powiatowe",-16.9
"Hajnówka","podlaskie","miasto_powiatowe",-17.05
"Hrubieszów","lubelskie","miasto_powiatowe",-17.12
"Węgorzewo","warmińsko-mazurskie","miasto_powiatowe",-17.12
