"nazwa","wojewodztwo","jednostka","wskaznik"
"Ozimek","opolskie","miasto_inne",-15.25
"Glinojeck","mazowieckie","miasto_inne",-15.29
"Józefów","mazowieckie","miasto_inne",-15.39
"Zagórz","podkarpackie","miasto_inne",-15.44
"Nowy Wiśnicz","małopolskie","miasto_inne",-15.5
"Chojna","zachodniopomorskie","miasto_inne",-15.56
"Ośno Lubuskie","lubuskie","miasto_inne",-15.59
"Krzepice","śląskie","miasto_inne",-15.71
"Krynica-Zdrój","małopolskie","miasto_inne",-15.72
"Skórcz","pomorskie","miasto_inne",-15.72
"Ziębice","dolnośląskie","miasto_inne",-15.77
"Kargowa","lubuskie","miasto_inne",-15.77
"Nowogród","podlaskie","miasto_inne",-15.77
"Drohiczyn","podlaskie","miasto_inne",-15.81
"Mszczonów","mazowieckie","miasto_inne",-15.82
"Strzegom","dolnośląskie","miasto_inne",-15.83
"Drawno","zachodniopomorskie","miasto_inne",-15.88
"Lędziny","śląskie","miasto_inne",-15.95
"Jaraczewo","wielkopolskie","miasto_inne",-15.96
"Ząbki","mazowieckie","miasto_inne",-16.07
"Narol","podkarpackie","miasto_inne",-16.08
"Suraż","podlaskie","miasto_inne",-16.21
"Krobia","wielkopolskie","miasto_inne",-16.36
"Tolkmicko","warmińsko-mazurskie","miasto_inne",-16.37
"Żukowo","pomorskie","miasto_inne",-16.43
"Rakoniewice","wielkopolskie","miasto_inne",-16.47
"Zbąszynek","lubuskie","miasto_inne",-16.6
"Małomice","lubuskie","miasto_inne",-16.6
"Tuchów","małopolskie","miasto_inne",-16.7
"Siechnice","dolnośląskie","miasto_inne",-16.71
"Biskupiec","warmińsko-mazurskie","miasto_inne",-16.72
"Bolków","dolnośląskie","miasto_inne",-16.74
"Grybów","małopolskie","miasto_inne",-16.89
"Zawichost","świętokrzyskie","miasto_inne",-16.92
"Tłuszcz","mazowieckie","miasto_inne",-16.98
"Dębno","zachodniopomorskie","miasto_inne",-16.99
"Mogielnica","mazowieckie","miasto_inne",-17.03
"Stąporków","świętokrzyskie","miasto_inne",-17.07
"Zelów","łódzkie","miasto_inne",-17.21
"Ciężkowice","małopolskie","miasto_inne",-17.39
"Wieleń","wielkopolskie","miasto_inne",-17.4
"Trzciel","lubuskie","miasto_inne",-17.44
"Morąg","warmińsko-mazurskie","miasto_inne",-17.59
"Działoszyn","łódzkie","miasto_inne",-17.7
"Kcynia","kujawsko-pomorskie","miasto_inne",-17.8
"Kórnik","wielkopolskie","miasto_inne",-17.8
"Alwernia","małopolskie","miasto_inne",-17.82
"Przedbórz","łódzkie","miasto_inne",-17.94
"Rejowiec","lubelskie","miasto_inne",-18.08
"Gubin","lubuskie","miasto_inne",-18.11
"Jedlicze","podkarpackie","miasto_inne",-18.12
"Chełmek","małopolskie","miasto_inne",-18.34
"Piwniczna-Zdrój","małopolskie","miasto_inne",-18.44
"Mrocza","kujawsko-pomorskie","miasto_inne",-18.45
"Pilawa","mazowieckie","miasto_inne",-18.52
"Zakliczyn","małopolskie","miasto_inne",-18.6
"Wojnicz","małopolskie","miasto_inne",-18.71
"Stopnica","świętokrzyskie","miasto_inne",-18.76
"Kowalewo Pomorskie","kujawsko-pomorskie","miasto_inne",-18.86
"Łochów","mazowieckie","miasto_inne",-18.9
"Halinów","mazowieckie","miasto_inne",-18.96
"Nowogard","zachodniopomorskie","miasto_inne",-19
"Brzostek","podkarpackie","miasto_inne",-19.01
"Chełmża","kujawsko-pomorskie","miasto_inne",-19.1
"Mrozy","mazowieckie","miasto_inne",-19.1
"Zawidów","dolnośląskie","miasto_inne",-19.17
"Darłowo","zachodniopomorskie","miasto_inne",-19.21
"Korfantów","opolskie","miasto_inne",-19.36
"Ryglice","małopolskie","miasto_inne",-19.72
"Szlichtyngowa","lubuskie","miasto_inne",-19.81
"Międzylesie","dolnośląskie","miasto_inne",-20.07
"Koźmin Wielkopolski","wielkopolskie","miasto_inne",-20.1
"Margonin","wielkopolskie","miasto_inne",-20.19
"Syców","dolnośląskie","miasto_inne",-20.27
"Brześć Kujawski","kujawsko-pomorskie","miasto_inne",-20.43
"Rumia","pomorskie","miasto_inne",-20.7
"Ryn","warmińsko-mazurskie","miasto_inne",-20.74
"Szczekociny","śląskie","miasto_inne",-20.75
"Oleszyce","podkarpackie","miasto_inne",-20.8
"Miłosław","wielkopolskie","miasto_inne",-20.85
"Bukowno","małopolskie","miasto_inne",-20.89
"Zakroczym","mazowieckie","miasto_inne",-20.89
"Rychwał","wielkopolskie","miasto_inne",-20.89
"Sieraków","wielkopolskie","miasto_inne",-20.91
"Pasym","warmińsko-mazurskie","miasto_inne",-21.03
"Chorzele","mazowieckie","miasto_inne",-21.07
"Żabno","małopolskie","miasto_inne",-21.08
"Nowe Brzesko","małopolskie","miasto_inne",-21.09
"Pobiedziska","wielkopolskie","miasto_inne",-21.15
"Dąbie","wielkopolskie","miasto_inne",-21.41
"Wielichowo","wielkopolskie","miasto_inne",-21.47
"Witnica","lubuskie","miasto_inne",-21.66
"Radzyń Chełmiński","kujawsko-pomorskie","miasto_inne",-21.69
"Karlino","zachodniopomorskie","miasto_inne",-21.92
"Zator","małopolskie","miasto_inne",-22.36
"Polanica-Zdrój","dolnośląskie","miasto_inne",-22.43
"Solec Kujawski","kujawsko-pomorskie","miasto_inne",-22.47
"Brusy","pomorskie","miasto_inne",-22.61
"Złocieniec","zachodniopomorskie","miasto_inne",-22.74
"Dobiegniew","lubuskie","miasto_inne",-22.9
"Stronie Śląskie","dolnośląskie","miasto_inne",-23.03
"Torzym","lubuskie","miasto_inne",-23.14
"Szczytna","dolnośląskie","miasto_inne",-23.43
"Pionki","mazowieckie","miasto_inne",-23.59
"Trzebiatów","zachodniopomorskie","miasto_inne",-24.19
"Wiązów","dolnośląskie","miasto_inne",-24.67
"Konstantynów Łódzki","łódzkie","miasto_inne",-24.7
"Zielonka","mazowieckie","miasto_inne",-25.05
"Michałowo","podlaskie","miasto_inne",-25.08
"Karczew","mazowieckie","miasto_inne",-25.1
"Hel","pomorskie","miasto_inne",-25.64
"Daleszyce","świętokrzyskie","miasto_inne",-25.83
"Kisielice","warmińsko-mazurskie","miasto_inne",-26.1
"Trzebinia","małopolskie","miasto_inne",-26.63
"Żmigród","dolnośląskie","miasto_inne",-27.71
"Imielin","śląskie","miasto_inne",-27.97
"Milanówek","mazowieckie","miasto_inne",-28.28
"Łeba","pomorskie","miasto_inne",-28.42
"Międzyzdroje","zachodniopomorskie","miasto_inne",-28.77
"Szczyrk","śląskie","miasto_inne",-28.81
"Maszewo","zachodniopomorskie","miasto_inne",-29.44
"Wolbórz","łódzkie","miasto_inne",-30.53
"Suchedniów","świętokrzyskie","miasto_inne",-30.79
"Choroszcz","podlaskie","miasto_inne",-31.12
"Osiek","świętokrzyskie","miasto_inne",-31.89
"Bieżuń","mazowieckie","miasto_inne",-32.16
"Muszyna","małopolskie","miasto_inne",-32.32
"Recz","zachodniopomorskie","miasto_inne",-32.77
"Lipiany","zachodniopomorskie","miasto_inne",-33.35
"Ruciane-Nida","warmińsko-mazurskie","miasto_inne",-33.67
"Chęciny","świętokrzyskie","miasto_inne",-33.9
"Przemków","dolnośląskie","miasto_inne",-34.98
"Dobczyce","małopolskie","miasto_inne",-35.33
"Pełczyce","zachodniopomorskie","miasto_inne",-36.04
"Brok","mazowieckie","miasto_inne",-37.6
"Koniecpol","śląskie","miasto_inne",-44.04
"Ostrowice","zachodniopomorskie","gmina_wiejska",133.09
"Kamieniec Ząbkowicki","dolnośląskie","gmina_wiejska",37.71
"Zduny","łódzkie","gmina_wiejska",27.42
"Kodeń","lubelskie","gmina_wiejska",26.74
"Korycin","podlaskie","gmina_wiejska",25.73
"Puńsk","podlaskie","gmina_wiejska",24.58
"Nielisz","lubelskie","gmina_wiejska",22.76
"Nowy Dwór","podlaskie","gmina_wiejska",21.98
"Jastków","lubelskie","gmina_wiejska",20.23
"Krasne","podkarpackie","gmina_wiejska",20.06
"Sulmierzyce","łódzkie","gmina_wiejska",16.83
"Horyniec-Zdrój","podkarpackie","gmina_wiejska",16.83
"Krzemieniewo","wielkopolskie","gmina_wiejska",16.58
"Piszczac","lubelskie","gmina_wiejska",16.45
"Lipowiec Kościelny","mazowieckie","gmina_wiejska",16.35
"Bartoszyce","warmińsko-mazurskie","gmina_wiejska",16.34
"Słupca","wielkopolskie","gmina_wiejska",15.99
"Stupsk","mazowieckie","gmina_wiejska",15.66
"Łapanów","małopolskie","gmina_wiejska",15.53
"Ostrowite","wielkopolskie","gmina_wiejska",15.32
"Ryczywół","wielkopolskie","gmina_wiejska",14.82
"Ornontowice","śląskie","gmina_wiejska",14.64
"Czarnocin","łódzkie","gmina_wiejska",14.25
"Stara Dąbrowa","zachodniopomorskie","gmina_wiejska",13.58
"Kraśniczyn","lubelskie","gmina_wiejska",13.08
"Przywidz","pomorskie","gmina_wiejska",13.01
"Morzeszczyn","pomorskie","gmina_wiejska",12.89
"Zbójno","kujawsko-pomorskie","gmina_wiejska",12.5
"Michałowice","małopolskie","gmina_wiejska",12.49
"Boronów","śląskie","gmina_wiejska",12.46
"Jabłoń","lubelskie","gmina_wiejska",12.4
"Siennica Różana","lubelskie","gmina_wiejska",12.36
"Żabia Wola","mazowieckie","gmina_wiejska",12.28
"Bierawa","opolskie","gmina_wiejska",12.25
"Wieprz","małopolskie","gmina_wiejska",12.13
"Rossosz","lubelskie","gmina_wiejska",11.88
"Ełk","warmińsko-mazurskie","gmina_wiejska",11.76
"Opatowiec","świętokrzyskie","gmina_wiejska",11.75
"Gać","podkarpackie","gmina_wiejska",11.5
"Lubin","dolnośląskie","gmina_wiejska",11.4
"Bobrowniki","śląskie","gmina_wiejska",11.24
"Czarnia","mazowieckie","gmina_wiejska",10.84
"Ulhówek","lubelskie","gmina_wiejska",10.83
"Bolimów","łódzkie","gmina_wiejska",10.51
"Lesznowola","mazowieckie","gmina_wiejska",9.94
"Pawłowice","śląskie","gmina_wiejska",9.92
"Borzytuchom","pomorskie","gmina_wiejska",9.77
"Wiślica","świętokrzyskie","gmina_wiejska",9.54
"Budry","warmińsko-mazurskie","gmina_wiejska",9.54
"Kije","świętokrzyskie","gmina_wiejska",9.29
"Słupsk","pomorskie","gmina_wiejska",9.1
"Barciany","warmińsko-mazurskie","gmina_wiejska",9.06
"Dynów","podkarpackie","gmina_wiejska",8.91
"Ożarowice","śląskie","gmina_wiejska",8.89
"Witonia","łódzkie","gmina_wiejska",8.84
"Zatory","mazowieckie","gmina_wiejska",8.81
"Gniezno","wielkopolskie","gmina_wiejska",8.8
"Skierbieszów","lubelskie","gmina_wiejska",8.71
"Nur","mazowieckie","gmina_wiejska",8.62
"Mszana","śląskie","gmina_wiejska",8.5
"Łagów","świętokrzyskie","gmina_wiejska",8.37
"Branice","opolskie","gmina_wiejska",8.2
"Szerzyny","podkarpackie","gmina_wiejska",8.18
"Maszewo","lubuskie","gmina_wiejska",8.12
"Lubenia","podkarpackie","gmina_wiejska",8.09
"Trzebiechów","lubuskie","gmina_wiejska",8.05
"Kazanów","mazowieckie","gmina_wiejska",8.05
"Jeżów","łódzkie","gmina_wiejska",8.01
"Gorzkowice","łódzkie","gmina_wiejska",8
"Gaworzyce","dolnośląskie","gmina_wiejska",7.96
"Janów","podlaskie","gmina_wiejska",7.87
"Stare Babice","mazowieckie","gmina_wiejska",7.8
"Wieczfnia Kościelna","mazowieckie","gmina_wiejska",7.78
"Słupia (Konecka)","świętokrzyskie","gmina_wiejska",7.74
"Mierzęcice","śląskie","gmina_wiejska",7.63
"Raciążek","kujawsko-pomorskie","gmina_wiejska",7.4
"Manowo","zachodniopomorskie","gmina_wiejska",7.37
"Udanin","dolnośląskie","gmina_wiejska",7.31
"Suchożebry","mazowieckie","gmina_wiejska",7.26
"Sztabin","podlaskie","gmina_wiejska",7.2
"Gnojno","świętokrzyskie","gmina_wiejska",7.13
"Jaświły","podlaskie","gmina_wiejska",7.07
"Nowe Miasto","mazowieckie","gmina_wiejska",6.93
"Pakosławice","opolskie","gmina_wiejska",6.85
"Gilowice","śląskie","gmina_wiejska",6.83
"Sędziejowice","łódzkie","gmina_wiejska",6.76
"Gorzków","lubelskie","gmina_wiejska",6.75
"Bochnia","małopolskie","gmina_wiejska",6.58
"Zawidz","mazowieckie","gmina_wiejska",6.54
"Żukowice","dolnośląskie","gmina_wiejska",6.43
"Łopiennik Górny","lubelskie","gmina_wiejska",6.43
"Lasowice Wielkie","opolskie","gmina_wiejska",6.37
"Kuźnica","podlaskie","gmina_wiejska",6.35
"Nagłowice","świętokrzyskie","gmina_wiejska",6.34
"Miłki","warmińsko-mazurskie","gmina_wiejska",6.23
"Jeleniewo","podlaskie","gmina_wiejska",5.91
"Kętrzyn","warmińsko-mazurskie","gmina_wiejska",5.86
"Cewice","pomorskie","gmina_wiejska",5.83
"Bojadła","lubuskie","gmina_wiejska",5.81
"Budziszewice","łódzkie","gmina_wiejska",5.72
"Dragacz","kujawsko-pomorskie","gmina_wiejska",5.7
"Przemęt","wielkopolskie","gmina_wiejska",5.53
"Podegrodzie","małopolskie","gmina_wiejska",5.51
"Cegłów","mazowieckie","gmina_wiejska",5.51
"Janowiec","lubelskie","gmina_wiejska",5.45
"Trzebieszów","lubelskie","gmina_wiejska",5.43
"Ostróda","warmińsko-mazurskie","gmina_wiejska",5.41
"Brody","lubuskie","gmina_wiejska",5.35
"Dubeninki","warmińsko-mazurskie","gmina_wiejska",5.35
"Wisznia Mała","dolnośląskie","gmina_wiejska",5.34
"Buczek","łódzkie","gmina_wiejska",5.29
"Boniewo","kujawsko-pomorskie","gmina_wiejska",5.26
"Baranowo","mazowieckie","gmina_wiejska",5.21
"Adamówka","podkarpackie","gmina_wiejska",5.21
"Grabów","łódzkie","gmina_wiejska",5.11
"Chmielno","pomorskie","gmina_wiejska",5.1
"Dębowa Kłoda","lubelskie","gmina_wiejska",5.07
"Czemierniki","lubelskie","gmina_wiejska",5.04
"Kolbudy","pomorskie","gmina_wiejska",4.98
"Lgota Wielka","łódzkie","gmina_wiejska",4.97
"Lisia Góra","małopolskie","gmina_wiejska",4.97
"Leoncin","mazowieckie","gmina_wiejska",4.94
"Brańsk","podlaskie","gmina_wiejska",4.93
"Krzczonów","lubelskie","gmina_wiejska",4.91
"Waganiec","kujawsko-pomorskie","gmina_wiejska",4.9
"Wejherowo","pomorskie","gmina_wiejska",4.86
"Żółkiewka","lubelskie","gmina_wiejska",4.84
"Linia","pomorskie","gmina_wiejska",4.82
"Obrzycko","wielkopolskie","gmina_wiejska",4.73
"Kotla","dolnośląskie","gmina_wiejska",4.57
"Stryszawa","małopolskie","gmina_wiejska",4.55
"Podedwórze","lubelskie","gmina_wiejska",4.48
"Świeszyno","zachodniopomorskie","gmina_wiejska",4.44
"Rakszawa","podkarpackie","gmina_wiejska",4.33
"Wądroże Wielkie","dolnośląskie","gmina_wiejska",4.3
"Wielkie Oczy","podkarpackie","gmina_wiejska",4.3
"Przybiernów","zachodniopomorskie","gmina_wiejska",4.28
"Sułów","lubelskie","gmina_wiejska",4.16
"Sochocin","mazowieckie","gmina_wiejska",4.11
"Lubrza","lubuskie","gmina_wiejska",4.08
"Krośnice","dolnośląskie","gmina_wiejska",4.06
"Ceków-Kolonia","wielkopolskie","gmina_wiejska",3.97
"Nowy Korczyn","świętokrzyskie","gmina_wiejska",3.88
"Jodłowa","podkarpackie","gmina_wiejska",3.78
"Tuczępy","świętokrzyskie","gmina_wiejska",3.78
"Rząśnik","mazowieckie","gmina_wiejska",3.71
"Piaski","wielkopolskie","gmina_wiejska",3.65
"Skomlin","łódzkie","gmina_wiejska",3.62
"Jodłownik","małopolskie","gmina_wiejska",3.6
"Baboszewo","mazowieckie","gmina_wiejska",3.6
"Pęcław","dolnośląskie","gmina_wiejska",3.57
"Zakrzewo","kujawsko-pomorskie","gmina_wiejska",3.56
"Grodzisko Dolne","podkarpackie","gmina_wiejska",3.48
"Kaczory","wielkopolskie","gmina_wiejska",3.44
"Psary","śląskie","gmina_wiejska",3.42
"Kijewo Królewskie","kujawsko-pomorskie","gmina_wiejska",3.41
"Lądek","wielkopolskie","gmina_wiejska",3.38
"Solec nad Wisłą","mazowieckie","gmina_wiejska",3.29
"Szczutowo","mazowieckie","gmina_wiejska",3.26
"Rąbino","zachodniopomorskie","gmina_wiejska",3.23
"Olszanka","opolskie","gmina_wiejska",3.21
"Dębno","małopolskie","gmina_wiejska",3.17
"Tarłów","świętokrzyskie","gmina_wiejska",3.14
"Policzna","mazowieckie","gmina_wiejska",3.13
"Słupno","mazowieckie","gmina_wiejska",3.11
"Sławno","łódzkie","gmina_wiejska",3.01
"Sułoszowa","małopolskie","gmina_wiejska",2.96
"Braniewo","warmińsko-mazurskie","gmina_wiejska",2.95
"Lniano","kujawsko-pomorskie","gmina_wiejska",2.94
"Jastrzębia","mazowieckie","gmina_wiejska",2.93
"Kluczewsko","świętokrzyskie","gmina_wiejska",2.86
"Grajewo","podlaskie","gmina_wiejska",2.81
"Milanów","lubelskie","gmina_wiejska",2.75
"Lubowidz","mazowieckie","gmina_wiejska",2.75
"Biesiekierz","zachodniopomorskie","gmina_wiejska",2.74
"Turek","wielkopolskie","gmina_wiejska",2.69
"Rzepiennik Strzyżewski","małopolskie","gmina_wiejska",2.68
"Brody","świętokrzyskie","gmina_wiejska",2.67
"Rudnik","lubelskie","gmina_wiejska",2.65
"Chodel","lubelskie","gmina_wiejska",2.64
"Sitkówka-Nowiny","świętokrzyskie","gmina_wiejska",2.64
"Słopnice","małopolskie","gmina_wiejska",2.58
"Ciepielów","mazowieckie","gmina_wiejska",2.56
"Iłów","mazowieckie","gmina_wiejska",2.51
"Grabica","łódzkie","gmina_wiejska",2.49
"Ciasna","śląskie","gmina_wiejska",2.49
"Płużnica","kujawsko-pomorskie","gmina_wiejska",2.47
"Rudziniec","śląskie","gmina_wiejska",2.39
"Chodów","wielkopolskie","gmina_wiejska",2.37
"Lubań","dolnośląskie","gmina_wiejska",2.36
"Tczew","pomorskie","gmina_wiejska",2.34
"Mokrsko","łódzkie","gmina_wiejska",2.32
"Karniewo","mazowieckie","gmina_wiejska",2.32
"Godkowo","warmińsko-mazurskie","gmina_wiejska",2.28
"Lelów","śląskie","gmina_wiejska",2.25
"Jerzmanowa","dolnośląskie","gmina_wiejska",2.21
"Przytoczna","lubuskie","gmina_wiejska",2.21
"Garbów","lubelskie","gmina_wiejska",2.18
"Susiec","lubelskie","gmina_wiejska",2.18
"Tomaszów Mazowiecki","łódzkie","gmina_wiejska",2.13
"Szydłowo","mazowieckie","gmina_wiejska",2.1
"Walim","dolnośląskie","gmina_wiejska",2.01
"Kolno","warmińsko-mazurskie","gmina_wiejska",2.01
"Karczmiska","lubelskie","gmina_wiejska",1.97
"Kluki","łódzkie","gmina_wiejska",1.86
"Górowo Iławeckie","warmińsko-mazurskie","gmina_wiejska",1.83
"Wizna","podlaskie","gmina_wiejska",1.76
"Potęgowo","pomorskie","gmina_wiejska",1.75
"Drelów","lubelskie","gmina_wiejska",1.74
"Koszęcin","śląskie","gmina_wiejska",1.74
"Dzierzgowo","mazowieckie","gmina_wiejska",1.7
"Radecznica","lubelskie","gmina_wiejska",1.67
"Tuchomie","pomorskie","gmina_wiejska",1.66
"Burzenin","łódzkie","gmina_wiejska",1.65
"Nowe Piekuty","podlaskie","gmina_wiejska",1.61
"Liszki","małopolskie","gmina_wiejska",1.59
"Spiczyn","lubelskie","gmina_wiejska",1.4
"Chełmiec","małopolskie","gmina_wiejska",1.4
"Grudziądz","kujawsko-pomorskie","gmina_wiejska",1.37
"Adamów","lubelskie","gmina_wiejska",1.36
"Srokowo","warmińsko-mazurskie","gmina_wiejska",1.35
"Sawin","lubelskie","gmina_wiejska",1.33
"Nowa Sól","lubuskie","gmina_wiejska",1.28
"Szczerców","łódzkie","gmina_wiejska",1.28
"Hażlach","śląskie","gmina_wiejska",1.27
"Świętajno","warmińsko-mazurskie","gmina_wiejska",1.27
"Lelkowo","warmińsko-mazurskie","gmina_wiejska",1.26
"Brójce","łódzkie","gmina_wiejska",1.18
"Wilkołaz","lubelskie","gmina_wiejska",1.14
"Wręczyca Wielka","śląskie","gmina_wiejska",1.09
"Mietków","dolnośląskie","gmina_wiejska",1.08
"Młynarze","mazowieckie","gmina_wiejska",1.06
"Wola Mysłowska","lubelskie","gmina_wiejska",1.03
"Wierzchowo","zachodniopomorskie","gmina_wiejska",1.03
"Grębocice","dolnośląskie","gmina_wiejska",0.98
"Bukowina Tatrzańska","małopolskie","gmina_wiejska",0.95
"Jabłonna","lubelskie","gmina_wiejska",0.92
"Czeremcha","podlaskie","gmina_wiejska",0.9
"Brodnica","kujawsko-pomorskie","gmina_wiejska",0.87
"Biszcza","lubelskie","gmina_wiejska",0.86
"Krzyżanowice","śląskie","gmina_wiejska",0.82
"Czarnocin","świętokrzyskie","gmina_wiejska",0.82
"Regnów","łódzkie","gmina_wiejska",0.78
"Szczurowa","małopolskie","gmina_wiejska",0.75
"Strzegowo","mazowieckie","gmina_wiejska",0.75
"Łukowa","lubelskie","gmina_wiejska",0.74
"Daszyna","łódzkie","gmina_wiejska",0.73
"Krzykosy","wielkopolskie","gmina_wiejska",0.73
"Grabowiec","lubelskie","gmina_wiejska",0.64
"Osiek","małopolskie","gmina_wiejska",0.64
"Domanice","mazowieckie","gmina_wiejska",0.64
"Dąbrówka","mazowieckie","gmina_wiejska",0.62
"Grunwald","warmińsko-mazurskie","gmina_wiejska",0.61
"Lubasz","wielkopolskie","gmina_wiejska",0.61
"Kuryłówka","podkarpackie","gmina_wiejska",0.55
"Dobryszyce","łódzkie","gmina_wiejska",0.53
"Dopiewo","wielkopolskie","gmina_wiejska",0.51
"Raciechowice","małopolskie","gmina_wiejska",0.46
"Błędów","mazowieckie","gmina_wiejska",0.46
"Łęki Szlacheckie","łódzkie","gmina_wiejska",0.43
"Lubochnia","łódzkie","gmina_wiejska",0.39
"Czerniewice","łódzkie","gmina_wiejska",0.36
"Osiek Mały","wielkopolskie","gmina_wiejska",0.36
"Świątki","warmińsko-mazurskie","gmina_wiejska",0.31
"Dmosin","łódzkie","gmina_wiejska",0.3
"Chlewiska","mazowieckie","gmina_wiejska",0.24
"Tułowice","opolskie","gmina_wiejska",0.1
"Obrazów","świętokrzyskie","gmina_wiejska",0.1
"Brzeżno","zachodniopomorskie","gmina_wiejska",0.07
"Paradyż","łódzkie","gmina_wiejska",0.06
"Sławoborze","zachodniopomorskie","gmina_wiejska",0.04
"Warta Bolesławiecka","dolnośląskie","gmina_wiejska",0
"Rudna","dolnośląskie","gmina_wiejska",0
"Koneck","kujawsko-pomorskie","gmina_wiejska",0
"Wielka Nieszawka","kujawsko-pomorskie","gmina_wiejska",0
"Międzyrzec Podlaski","lubelskie","gmina_wiejska",0
"Siemień","lubelskie","gmina_wiejska",0
"Puławy","lubelskie","gmina_wiejska",0
"Żagań","lubuskie","gmina_wiejska",0
"Kleszczów","łódzkie","gmina_wiejska",0
"Bedlno","łódzkie","gmina_wiejska",0
"Ładzice","łódzkie","gmina_wiejska",0
"Grybów","małopolskie","gmina_wiejska",0
"Budzów","małopolskie","gmina_wiejska",0
"Stara Kornica","mazowieckie","gmina_wiejska",0
"Wiśniewo","mazowieckie","gmina_wiejska",0
"Szulborze Wielkie","mazowieckie","gmina_wiejska",0
"Rokietnica","podkarpackie","gmina_wiejska",0
"Majdan Królewski","podkarpackie","gmina_wiejska",0
"Jaśliska","podkarpackie","gmina_wiejska",0
"Niebylec","podkarpackie","gmina_wiejska",0
"Rutka-Tartak","podlaskie","gmina_wiejska",0
"Kulesze Kościelne","podlaskie","gmina_wiejska",0
"Rutki","podlaskie","gmina_wiejska",0
"Ostaszewo","pomorskie","gmina_wiejska",0
"Sztutowo","pomorskie","gmina_wiejska",0
"Gierałtowice","śląskie","gmina_wiejska",0
"Gowarczów","świętokrzyskie","gmina_wiejska",0
"Łubnice","świętokrzyskie","gmina_wiejska",0
"Nowe Miasto nad Wartą","wielkopolskie","gmina_wiejska",0
"Wałcz","zachodniopomorskie","gmina_wiejska",0
"Maciejowice","mazowieckie","gmina_wiejska",-0.04
"Mochowo","mazowieckie","gmina_wiejska",-0.06
"Janowiec Kościelny","warmińsko-mazurskie","gmina_wiejska",-0.07
"Żarnowiec","śląskie","gmina_wiejska",-0.08
"Końskowola","lubelskie","gmina_wiejska",-0.09
"Krzyżanów","łódzkie","gmina_wiejska",-0.1
"Hyżne","podkarpackie","gmina_wiejska",-0.1
"Kiełczygłów","łódzkie","gmina_wiejska",-0.11
"Mełgiew","lubelskie","gmina_wiejska",-0.19
"Płoskinia","warmińsko-mazurskie","gmina_wiejska",-0.23
"Lelis","mazowieckie","gmina_wiejska",-0.26
"Gromadka","dolnośląskie","gmina_wiejska",-0.33
"Obsza","lubelskie","gmina_wiejska",-0.36
"Brochów","mazowieckie","gmina_wiejska",-0.39
"Czernice Borowe","mazowieckie","gmina_wiejska",-0.4
"Połajewo","wielkopolskie","gmina_wiejska",-0.4
"Miękinia","dolnośląskie","gmina_wiejska",-0.41
"Zambrów","podlaskie","gmina_wiejska",-0.41
"Masłowice","łódzkie","gmina_wiejska",-0.42
"Wielopole Skrzyńskie","podkarpackie","gmina_wiejska",-0.45
"Zembrzyce","małopolskie","gmina_wiejska",-0.47
"Włoszakowice","wielkopolskie","gmina_wiejska",-0.47
"Wąpielsk","kujawsko-pomorskie","gmina_wiejska",-0.48
"Ostrów","podkarpackie","gmina_wiejska",-0.5
"Kuczbork-Osada","mazowieckie","gmina_wiejska",-0.56
"Łukowica","małopolskie","gmina_wiejska",-0.57
"Świnna","śląskie","gmina_wiejska",-0.59
"Kąkolewnica Wschodnia","lubelskie","gmina_wiejska",-0.6
"Trzebiel","lubuskie","gmina_wiejska",-0.6
"Komarów-Osada","lubelskie","gmina_wiejska",-0.63
"Rokitno","lubelskie","gmina_wiejska",-0.65
"Kalinowo","warmińsko-mazurskie","gmina_wiejska",-0.71
"Kowala","mazowieckie","gmina_wiejska",-0.76
"Kołaczkowo","wielkopolskie","gmina_wiejska",-0.81
"Batorz","lubelskie","gmina_wiejska",-0.85
"Bystra-Sidzina","małopolskie","gmina_wiejska",-0.86
"Marklowice","śląskie","gmina_wiejska",-0.87
"Borzęcin","małopolskie","gmina_wiejska",-0.88
"Świerklany","śląskie","gmina_wiejska",-0.91
"Zakrzówek","lubelskie","gmina_wiejska",-0.94
"Nowa Karczma","pomorskie","gmina_wiejska",-0.94
"Darłowo","zachodniopomorskie","gmina_wiejska",-0.95
"Nawojowa","małopolskie","gmina_wiejska",-0.98
"Żelazków","wielkopolskie","gmina_wiejska",-0.98
"Siekierczyn","dolnośląskie","gmina_wiejska",-0.99
"Przelewice","zachodniopomorskie","gmina_wiejska",-1.01
"Mucharz","małopolskie","gmina_wiejska",-1.03
"Przygodzice","wielkopolskie","gmina_wiejska",-1.04
"Ostrówek","łódzkie","gmina_wiejska",-1.05
"Stary Lubotyń","mazowieckie","gmina_wiejska",-1.11
"Baruchowo","kujawsko-pomorskie","gmina_wiejska",-1.12
"Kościelisko","małopolskie","gmina_wiejska",-1.15
"Kamienica","małopolskie","gmina_wiejska",-1.17
"Wieniawa","mazowieckie","gmina_wiejska",-1.2
"Kamienna Góra","dolnośląskie","gmina_wiejska",-1.22
"Spytkowice","małopolskie","gmina_wiejska",-1.22
"Rypin","kujawsko-pomorskie","gmina_wiejska",-1.23
"Potworów","mazowieckie","gmina_wiejska",-1.23
"Bogoria","świętokrzyskie","gmina_wiejska",-1.24
"Osięciny","kujawsko-pomorskie","gmina_wiejska",-1.26
"Chąśno","łódzkie","gmina_wiejska",-1.26
"Dobrcz","kujawsko-pomorskie","gmina_wiejska",-1.31
